fecha_deteccion;fecha_timeout;operador;proceso;codigo;descripcion;rango_consulta;time_taken_ms;status;status_code
2026-05-07 16:47:11;2026-05-07 15:46:52;CLARO;Activación Servicios;TIMEOUT_33872ms;Timeout: 33,872ms;today;33872;;
2026-05-07 16:47:11;2026-05-07 15:46:33;CLARO;Activación Servicios;TIMEOUT_35103ms;Timeout: 35,103ms;today;35103;;
2026-05-07 16:47:11;2026-05-07 14:36:27;CLARO;Cambio ONT;TIMEOUT_32626ms;Timeout: 32,626ms;today;32626;;
2026-05-07 16:47:11;2026-05-07 14:36:27;CLARO;Cambio ONT;TIMEOUT_33053ms;Timeout: 33,053ms;today;33053;;
2026-05-07 16:47:11;2026-05-07 14:36:21;CLARO;Activación Servicios;TIMEOUT_38685ms;Timeout: 38,685ms;today;38685;;
2026-05-07 16:47:11;2026-05-07 14:36:01;CLARO;Activación Servicios;TIMEOUT_37921ms;Timeout: 37,921ms;today;37921;;
2026-05-07 16:47:11;2026-05-07 12:15:24;CLARO;Activación Servicios;TIMEOUT_35800ms;Timeout: 35,800ms;today;35800;;
2026-05-07 16:47:11;2026-05-07 12:08:17;CLARO;Activación Servicios;TIMEOUT_44903ms;Timeout: 44,903ms;today;44903;;
2026-05-07 16:47:11;2026-05-07 11:54:52;CLARO;Cambio ONT;TIMEOUT_34500ms;Timeout: 34,500ms;today;34500;;
2026-05-07 16:47:11;2026-05-07 11:54:52;CLARO;Cambio ONT;TIMEOUT_35029ms;Timeout: 35,029ms;today;35029;;
2026-05-07 11:29:05;2026-05-07 11:23:42;CLARO;Activación Servicios;TIMEOUT_30739ms;Timeout: 30,739ms;now-24h;30739;;
2026-05-07 11:29:05;2026-05-07 11:22:40;CLARO;Activación Servicios;TIMEOUT_31853ms;Timeout: 31,853ms;now-24h;31853;;
2026-05-07 09:53:38;2026-05-07 09:43:32;CLARO;Activación Servicios;TIMEOUT_34846ms;Timeout: 34,846ms;now-7d;34846;;
2026-05-07 09:53:38;2026-05-07 09:43:16;CLARO;Activación Servicios;TIMEOUT_39003ms;Timeout: 39,003ms;now-7d;39003;;
2026-05-07 09:53:38;2026-05-07 09:43:16;CLARO;Activación Servicios;TIMEOUT_39986ms;Timeout: 39,986ms;now-7d;39986;;
2026-05-07 08:54:46;2026-05-07 08:53:11;CLARO;Activación Servicios;TIMEOUT_42608ms;Timeout: 42,608ms;now-15m;42608;;
2026-05-07 08:54:46;2026-05-07 08:53:11;CLARO;Activación Servicios;TIMEOUT_41015ms;Timeout: 41,015ms;now-15m;41015;;
2026-05-07 08:50:52;2026-05-07 08:49:04;CLARO;Activación Servicios;TIMEOUT_35297ms;Timeout: 35,297ms;now-7d;35297;;
2026-05-07 08:50:52;2026-05-07 08:48:45;CLARO;Activación Servicios;TIMEOUT_41442ms;Timeout: 41,442ms;now-7d;41442;;
2026-05-07 08:50:52;2026-05-07 08:26:33;CLARO;Activación Servicios;TIMEOUT_33029ms;Timeout: 33,029ms;now-7d;33029;;
2026-05-07 08:50:52;2026-05-07 08:17:07;CLARO;Activación Servicios;TIMEOUT_42495ms;Timeout: 42,495ms;now-7d;42495;;
2026-05-07 08:50:52;2026-05-07 08:16:45;CLARO;Activación Servicios;TIMEOUT_36435ms;Timeout: 36,435ms;now-7d;36435;;
2026-05-07 08:50:52;2026-05-07 03:10:07;CLARO;Terminación;TIMEOUT_31180ms;Timeout: 31,180ms;now-7d;31180;;
2026-05-07 08:50:52;2026-05-07 03:10:07;CLARO;Terminación;TIMEOUT_31822ms;Timeout: 31,822ms;now-7d;31822;;
2026-05-07 08:50:52;2026-05-07 03:10:07;CLARO;Terminación;TIMEOUT_32700ms;Timeout: 32,700ms;now-7d;32700;;
2026-05-07 08:50:52;2026-05-07 03:07:27;CLARO;Terminación;TIMEOUT_33937ms;Timeout: 33,937ms;now-7d;33937;;
2026-05-07 08:50:52;2026-05-07 03:07:27;CLARO;Terminación;TIMEOUT_34945ms;Timeout: 34,945ms;now-7d;34945;;
2026-05-07 08:50:52;2026-05-07 03:07:26;CLARO;Terminación;TIMEOUT_35745ms;Timeout: 35,745ms;now-7d;35745;;
2026-05-07 08:50:52;2026-05-07 03:07:19;CLARO;Terminación;TIMEOUT_30340ms;Timeout: 30,340ms;now-7d;30340;;
2026-05-07 08:50:52;2026-05-07 03:07:19;CLARO;Terminación;TIMEOUT_31083ms;Timeout: 31,083ms;now-7d;31083;;
